HIP_ID,R,R_err_lwr,R_err_upr,P_avg,P_err,vsini,vsini_err_upr,vsini_err_lwr
HIP-77358,0.9226,0.0247,0.0367,12.670377409680585,0.1607640284324998,2.0,,
HIP-80337,0.9812,0.0223,0.0182,7.932802371992778,0.0595984724636638,1.5,,
HIP-107350,1.0001,0.0241,0.0259,4.824029834788609,0.0371031752228674,10.0,,
HIP-7513,1.6686,0.0374,0.0366,2.4487759218697223,0.0133543800785878,9.2,,
