HIP_ID,R,R_err_lwr,R_err_upr,P_avg,P_err,vsini,vsini_err_upr,vsini_err_lwr
HIP-107649,1.0634,0.0218,0.0228,,,,,
HIP-109422,1.4566,0.0374,0.0368,,,,,
HIP-110649,1.8049,0.0575,0.0628,,,,,
HIP-111449,1.4735,0.0411,0.0459,1.25848428212104,0.01040408676841312,,,
HIP-112447,1.9028,0.0562,0.0521,,,,,
HIP-113283,0.7185,0.0218,0.0184,5.097540536540169,0.04659922302097977,,,
HIP-114046,,,,,,2.5,1.0,-1.0
HIP-114622,0.8121,0.0182,0.0243,,,0.4,0.5,-0.5
HIP-114924,1.282,0.0663,0.0277,,,,,
HIP-544,0.9281,0.0385,0.0227,6.402596463856826,0.06003630568471201,,,
HIP-910,1.59,0.0341,0.0468,,,,,
HIP-950,1.4256,0.0295,0.0352,,,,,
HIP-1599,1.0884,0.0211,0.0355,,,,,
HIP-2021,1.7695,0.0738,0.0638,10.060564178785445,1.6755691685953573,,,
HIP-3093,0.9994,0.0222,0.0364,,,1.1,,
HIP-3583,1.2397,0.0417,0.0452,5.064544767964319,0.1990358926952891,,,
HIP-3765,0.7592,0.028,0.0333,,23.849721917321826,,,
HIP-3821,1.0191,0.0426,0.0267,,,,,
HIP-3909,1.1654,0.023,0.0328,,,,,
HIP-4151,1.7042,0.0351,0.0439,3.523755115775069,0.06226182779268387,,,
HIP-5862,1.3049,0.0294,0.0317,,,,,
HIP-5896,1.787,0.0687,0.0912,1.0733753192415085,0.003026531396418162,,,
HIP-7513,1.6686,0.0374,0.0366,2.4487759218697223,0.013354380078587892,9.2,,
HIP-7751,,,,,,,,
HIP-7751,,,,,,,,
HIP-7978,1.1095,0.0215,0.0348,,1.8482898145459863,4.9,,
HIP-7981,0.8662,0.0267,0.0272,,1.929860576592813,,,
HIP-8362,0.8466,0.0266,0.0251,9.416987152767442,0.08475073420801711,,,
HIP-10798,0.743,0.0144,0.0203,,1.7644014361587381,,,
HIP-12777,1.2874,0.0281,0.0326,,,,,
HIP-12843,1.3898,0.0393,0.0455,2.59888960752974,0.1275619743688528,,,
HIP-13402,0.8339,0.0194,0.0315,7.148220459157823,0.16410621888655635,,,
HIP-14632,1.4133,0.0326,0.0391,,,,,
HIP-14879,1.8826,0.0641,0.0545,4.282119774501331,0.17933903130424753,,,
HIP-15330,0.9011,0.0218,0.0254,4.092220777956227,0.09159809792332774,,,
HIP-15371,0.9823,0.024,0.024,,,,,
HIP-15457,0.9616,0.0218,0.0303,,1.2674675308150074,,,
HIP-15510,0.9396,0.0891,0.074,,,3.0,,
HIP-15510,0.9396,0.0891,0.074,,,3.0,,
HIP-16245,1.7001,0.0542,0.0572,,,,,
HIP-16852,1.7067,0.0462,0.0652,,,,,
HIP-17378,2.5587,0.0937,0.1133,,,,,
HIP-17651,1.8296,0.0389,0.0389,,,,,
HIP-18859,1.2187,0.0309,0.033,1.527054476386776,0.005162511244826427,,,
HIP-19335,1.2702,0.0219,0.0311,2.67894293867556,0.054456306754783766,,,
HIP-19849,,,,,,,,
HIP-22263,1.33,0.039,0.0504,,1.8119627520448052,,,
HIP-22449,1.342,0.035,0.0279,1.8735096163896632,0.036167479133864665,,,
HIP-23311,0.8552,0.032,0.0288,,,,,
HIP-23693,1.0803,0.0346,0.0295,3.573127812109794,0.03508733964728371,,,
HIP-23835,1.579,0.0452,0.029,,,,,
HIP-24813,1.3222,0.0315,0.1039,,,,,
HIP-25110,1.4923,0.0317,0.0483,,,12.0,,
HIP-25278,1.1739,0.033,0.0288,3.6474014824348853,0.014929353404704018,,,
